name,avg_us,std_us,runs,#,N,C,H,W,h_var,w_var,seed,cuda,numel,cpu
conv2d_iter_7x7,2443311,42400,7,132/270,4,256,80,80,10.0,10.0,24,False,8031744,1
conv2d_pad_7x7,3281569,8542,5,133/270,4,256,80,80,10.0,10.0,24,False,8031744,1
conv2d_nt_7x7,2422741,24122,7,134/270,4,256,80,80,10.0,10.0,24,False,8031744,1
batch_norm_tensor_iter,6775,482,2214,135/270,4,256,80,80,10.0,10.0,24,False,8031744,1
batch_norm_tensor_pad,9001,411,1667,136/270,4,256,80,80,10.0,10.0,24,False,8031744,1
batch_norm_nt,6828,214,2197,137/270,4,256,80,80,10.0,10.0,24,False,8031744,1
max_pool2d_tensor_iter,43589,1092,345,138/270,4,256,80,80,10.0,10.0,24,False,8031744,1
max_pool2d_tensor_pad,54042,500,278,139/270,4,256,80,80,10.0,10.0,24,False,8031744,1
max_pool2d_nt,46409,1162,324,140/270,4,256,80,80,10.0,10.0,24,False,8031744,1
cross_entropy_tensor_iter,133689,1524,113,141/270,4,256,80,80,10.0,10.0,24,False,8031744,1
cross_entropy_tensor_pad,148090,4347,102,142/270,4,256,80,80,10.0,10.0,24,False,8031744,1
cross_entropy_nt,132999,1819,113,143/270,4,256,80,80,10.0,10.0,24,False,8031744,1
dropout_tensor_iter,22475,1434,668,144/270,4,256,80,80,10.0,10.0,24,False,8031744,1
dropout_tensor_pad,39078,1052,384,145/270,4,256,80,80,10.0,10.0,24,False,8031744,1
dropout_nt,22308,791,673,146/270,4,256,80,80,10.0,10.0,24,False,8031744,1
interpolate_tensor_iter,42460,1670,354,147/270,4,256,80,80,10.0,10.0,24,False,8031744,1
interpolate_tensor_pad,62234,1452,242,148/270,4,256,80,80,10.0,10.0,24,False,8031744,1
interpolate_nt,24564,1367,611,149/270,4,256,80,80,10.0,10.0,24,False,8031744,1
relu__tensor_pad,1723,31,8704,150/270,4,256,80,80,0.0,0.0,24,False,6553600,1
relu__tensor_iter,1796,31,8348,151/270,4,256,80,80,0.0,0.0,24,False,6553600,1
relu__nt,1826,30,8211,152/270,4,256,80,80,0.0,0.0,24,False,6553600,1
relu_tensor_iter,2850,69,5263,153/270,4,256,80,80,0.0,0.0,24,False,6553600,1
relu_tensor_pad,5183,174,2894,154/270,4,256,80,80,0.0,0.0,24,False,6553600,1
relu_nt,5289,177,2836,155/270,4,256,80,80,0.0,0.0,24,False,6553600,1
conv2d_iter_1x1,50584,782,297,156/270,4,256,80,80,0.0,0.0,24,False,6553600,1
conv2d_pad_1x1,52225,949,288,157/270,4,256,80,80,0.0,0.0,24,False,6553600,1
conv2d_nt_1x1,50641,549,297,158/270,4,256,80,80,0.0,0.0,24,False,6553600,1
conv2d_iter_3x3,423789,5885,36,159/270,4,256,80,80,0.0,0.0,24,False,6553600,1
conv2d_pad_3x3,424993,3313,36,160/270,4,256,80,80,0.0,0.0,24,False,6553600,1
conv2d_nt_3x3,426411,4557,36,161/270,4,256,80,80,0.0,0.0,24,False,6553600,1
conv2d_iter_7x7,1846961,6348,9,162/270,4,256,80,80,0.0,0.0,24,False,6553600,1
conv2d_pad_7x7,1868500,50951,9,163/270,4,256,80,80,0.0,0.0,24,False,6553600,1
conv2d_nt_7x7,1841736,2350,9,164/270,4,256,80,80,0.0,0.0,24,False,6553600,1
batch_norm_tensor_iter,3022,49,4963,165/270,4,256,80,80,0.0,0.0,24,False,6553600,1
batch_norm_tensor_pad,5295,251,2833,166/270,4,256,80,80,0.0,0.0,24,False,6553600,1
batch_norm_nt,4766,73,3147,167/270,4,256,80,80,0.0,0.0,24,False,6553600,1
max_pool2d_tensor_iter,35740,552,420,168/270,4,256,80,80,0.0,0.0,24,False,6553600,1
max_pool2d_tensor_pad,38194,724,393,169/270,4,256,80,80,0.0,0.0,24,False,6553600,1
max_pool2d_nt,38001,428,395,170/270,4,256,80,80,0.0,0.0,24,False,6553600,1
cross_entropy_tensor_iter,123745,2553,122,171/270,4,256,80,80,0.0,0.0,24,False,6553600,1
cross_entropy_tensor_pad,105391,5834,143,172/270,4,256,80,80,0.0,0.0,24,False,6553600,1
cross_entropy_nt,99949,2586,151,173/270,4,256,80,80,0.0,0.0,24,False,6553600,1
dropout_tensor_iter,15672,486,958,174/270,4,256,80,80,0.0,0.0,24,False,6553600,1
dropout_tensor_pad,21973,633,683,175/270,4,256,80,80,0.0,0.0,24,False,6553600,1
dropout_nt,16160,345,929,176/270,4,256,80,80,0.0,0.0,24,False,6553600,1
interpolate_tensor_iter,7266,104,2065,177/270,4,256,80,80,0.0,0.0,24,False,6553600,1
interpolate_tensor_pad,20037,801,749,178/270,4,256,80,80,0.0,0.0,24,False,6553600,1
interpolate_nt,19931,1312,753,179/270,4,256,80,80,0.0,0.0,24,False,6553600,1
relu__tensor_pad,15943,89,941,180/270,8,256,80,80,20.0,20.0,24,False,16300544,1
relu__tensor_iter,8022,69,1870,181/270,8,256,80,80,20.0,20.0,24,False,16300544,1
relu__nt,8089,85,1855,182/270,8,256,80,80,20.0,20.0,24,False,16300544,1
relu_tensor_iter,12841,617,1169,183/270,8,256,80,80,20.0,20.0,24,False,16300544,1
relu_tensor_pad,26492,1776,567,184/270,8,256,80,80,20.0,20.0,24,False,16300544,1
relu_nt,13494,645,1112,185/270,8,256,80,80,20.0,20.0,24,False,16300544,1
conv2d_iter_1x1,135160,5347,111,186/270,8,256,80,80,20.0,20.0,24,False,16300544,1
conv2d_pad_1x1,268790,2317,56,187/270,8,256,80,80,20.0,20.0,24,False,16300544,1
conv2d_nt_1x1,133953,2664,112,188/270,8,256,80,80,20.0,20.0,24,False,16300544,1
conv2d_iter_3x3,1092269,10739,14,189/270,8,256,80,80,20.0,20.0,24,False,16300544,1
conv2d_pad_3x3,2231381,13469,7,190/270,8,256,80,80,20.0,20.0,24,False,16300544,1
conv2d_nt_3x3,1125045,43072,14,191/270,8,256,80,80,20.0,20.0,24,False,16300544,1
conv2d_iter_7x7,5087237,163387,3,192/270,8,256,80,80,20.0,20.0,24,False,16300544,1
conv2d_pad_7x7,10553690,9072,2,193/270,8,256,80,80,20.0,20.0,24,False,16300544,1
conv2d_nt_7x7,4915143,20535,4,194/270,8,256,80,80,20.0,20.0,24,False,16300544,1
batch_norm_tensor_iter,13381,999,1121,195/270,8,256,80,80,20.0,20.0,24,False,16300544,1
batch_norm_tensor_pad,27033,1838,555,196/270,8,256,80,80,20.0,20.0,24,False,16300544,1
batch_norm_nt,13847,164,1084,197/270,8,256,80,80,20.0,20.0,24,False,16300544,1
max_pool2d_tensor_iter,89035,1772,169,198/270,8,256,80,80,20.0,20.0,24,False,16300544,1
max_pool2d_tensor_pad,136822,1886,110,199/270,8,256,80,80,20.0,20.0,24,False,16300544,1
max_pool2d_nt,94279,1849,160,200/270,8,256,80,80,20.0,20.0,24,False,16300544,1
cross_entropy_tensor_iter,269347,3841,56,201/270,8,256,80,80,20.0,20.0,24,False,16300544,1
cross_entropy_tensor_pad,587467,2549,26,202/270,8,256,80,80,20.0,20.0,24,False,16300544,1
cross_entropy_nt,270571,3106,56,203/270,8,256,80,80,20.0,20.0,24,False,16300544,1
dropout_tensor_iter,47096,3934,319,204/270,8,256,80,80,20.0,20.0,24,False,16300544,1
