name,avg_us,std_us,runs,#,N,C,H,W,h_var,w_var,seed,cuda,numel
cross_entropy_tensor_pad,511,2,29352,142/270,4,256,80,80,10.0,10.0,24,True,8031744
cross_entropy_nt,1601,5,9364,143/270,4,256,80,80,10.0,10.0,24,True,8031744
dropout_tensor_iter,166,2,90063,144/270,4,256,80,80,10.0,10.0,24,True,8031744
dropout_tensor_pad,204,2,73504,145/270,4,256,80,80,10.0,10.0,24,True,8031744
dropout_nt,166,2,89944,146/270,4,256,80,80,10.0,10.0,24,True,8031744
interpolate_tensor_iter,556,2,26946,147/270,4,256,80,80,10.0,10.0,24,True,8031744
interpolate_tensor_pad,165,1,90473,148/270,4,256,80,80,10.0,10.0,24,True,8031744
interpolate_nt,149,2,100545,149/270,4,256,80,80,10.0,10.0,24,True,8031744
relu__tensor_pad,98,1,152140,150/270,4,256,80,80,0.0,0.0,24,True,6553600
relu__tensor_iter,102,1,145805,151/270,4,256,80,80,0.0,0.0,24,True,6553600
relu__nt,98,1,152355,152/270,4,256,80,80,0.0,0.0,24,True,6553600
relu_tensor_iter,103,2,145186,153/270,4,256,80,80,0.0,0.0,24,True,6553600
relu_tensor_pad,98,1,152077,154/270,4,256,80,80,0.0,0.0,24,True,6553600
relu_nt,98,2,152681,155/270,4,256,80,80,0.0,0.0,24,True,6553600
conv2d_iter_1x1,673,4,22279,156/270,4,256,80,80,0.0,0.0,24,True,6553600
conv2d_pad_1x1,626,8,23948,157/270,4,256,80,80,0.0,0.0,24,True,6553600
conv2d_nt_1x1,677,14,22140,158/270,4,256,80,80,0.0,0.0,24,True,6553600
conv2d_iter_3x3,4557,34,3292,159/270,4,256,80,80,0.0,0.0,24,True,6553600
conv2d_pad_3x3,4780,21,3138,160/270,4,256,80,80,0.0,0.0,24,True,6553600
conv2d_nt_3x3,4574,13,3280,161/270,4,256,80,80,0.0,0.0,24,True,6553600
conv2d_iter_7x7,21909,43,685,162/270,4,256,80,80,0.0,0.0,24,True,6553600
conv2d_pad_7x7,18281,5023,821,163/270,4,256,80,80,0.0,0.0,24,True,6553600
conv2d_nt_7x7,81091,917,185,164/270,4,256,80,80,0.0,0.0,24,True,6553600
batch_norm_tensor_iter,289,666,51865,165/270,4,256,80,80,0.0,0.0,24,True,6553600
batch_norm_tensor_pad,109,1,137476,166/270,4,256,80,80,0.0,0.0,24,True,6553600
batch_norm_nt,227,10,65806,167/270,4,256,80,80,0.0,0.0,24,True,6553600
max_pool2d_tensor_iter,133,5,112095,168/270,4,256,80,80,0.0,0.0,24,True,6553600
max_pool2d_tensor_pad,90,1,164998,169/270,4,256,80,80,0.0,0.0,24,True,6553600
max_pool2d_nt,91,2,164331,170/270,4,256,80,80,0.0,0.0,24,True,6553600
cross_entropy_tensor_iter,1553,5,9658,171/270,4,256,80,80,0.0,0.0,24,True,6553600
cross_entropy_tensor_pad,450,2,33289,172/270,4,256,80,80,0.0,0.0,24,True,6553600
cross_entropy_nt,1554,6,9652,173/270,4,256,80,80,0.0,0.0,24,True,6553600
dropout_tensor_iter,138,4,108569,174/270,4,256,80,80,0.0,0.0,24,True,6553600
dropout_tensor_pad,127,1,117280,175/270,4,256,80,80,0.0,0.0,24,True,6553600
dropout_nt,140,2,107103,176/270,4,256,80,80,0.0,0.0,24,True,6553600
interpolate_tensor_iter,473,2,31676,177/270,4,256,80,80,0.0,0.0,24,True,6553600
interpolate_tensor_pad,120,1,124631,178/270,4,256,80,80,0.0,0.0,24,True,6553600
interpolate_nt,134,2,111233,179/270,4,256,80,80,0.0,0.0,24,True,6553600
relu__tensor_pad,482,1,31086,180/270,8,256,80,80,20.0,20.0,24,True,16300544
relu__tensor_iter,253,1,59135,181/270,8,256,80,80,20.0,20.0,24,True,16300544
relu__nt,243,2,61616,182/270,8,256,80,80,20.0,20.0,24,True,16300544
relu_tensor_iter,254,2,58972,183/270,8,256,80,80,20.0,20.0,24,True,16300544
relu_tensor_pad,482,2,31061,184/270,8,256,80,80,20.0,20.0,24,True,16300544
relu_nt,243,3,61636,185/270,8,256,80,80,20.0,20.0,24,True,16300544
conv2d_iter_1x1,1749,19,8575,186/270,8,256,80,80,20.0,20.0,24,True,16300544
conv2d_pad_1x1,2911,13,5152,187/270,8,256,80,80,20.0,20.0,24,True,16300544
conv2d_nt_1x1,1764,16,8501,188/270,8,256,80,80,20.0,20.0,24,True,16300544
conv2d_iter_3x3,13109,205,1145,189/270,8,256,80,80,20.0,20.0,24,True,16300544
conv2d_pad_3x3,20044,151,749,190/270,8,256,80,80,20.0,20.0,24,True,16300544
conv2d_nt_3x3,160187,857,94,191/270,8,256,80,80,20.0,20.0,24,True,16300544
conv2d_iter_7x7,60599,560,248,192/270,8,256,80,80,20.0,20.0,24,True,16300544
conv2d_pad_7x7,30733,38499,490,193/270,8,256,80,80,20.0,20.0,24,True,16300544
conv2d_nt_7x7,752788,912,20,194/270,8,256,80,80,20.0,20.0,24,True,16300544
batch_norm_tensor_iter,753269,1062,20,195/270,8,256,80,80,20.0,20.0,24,True,16300544
batch_norm_tensor_pad,94142,544,160,196/270,8,256,80,80,20.0,20.0,24,True,16300544
batch_norm_nt,752410,837,20,197/270,8,256,80,80,20.0,20.0,24,True,16300544
max_pool2d_tensor_iter,1199,24404,12503,198/270,8,256,80,80,20.0,20.0,24,True,16300544
max_pool2d_tensor_pad,425,2,35216,199/270,8,256,80,80,20.0,20.0,24,True,16300544
max_pool2d_nt,247,2,60497,200/270,8,256,80,80,20.0,20.0,24,True,16300544
cross_entropy_tensor_iter,3094,7,4848,201/270,8,256,80,80,20.0,20.0,24,True,16300544
cross_entropy_tensor_pad,2006,9,7475,202/270,8,256,80,80,20.0,20.0,24,True,16300544
cross_entropy_nt,3106,8,4829,203/270,8,256,80,80,20.0,20.0,24,True,16300544
dropout_tensor_iter,339,4,44136,204/270,8,256,80,80,20.0,20.0,24,True,16300544
dropout_tensor_pad,600,3,24980,205/270,8,256,80,80,20.0,20.0,24,True,16300544
dropout_nt,341,3,43935,206/270,8,256,80,80,20.0,20.0,24,True,16300544
interpolate_tensor_iter,1101,3,13620,207/270,8,256,80,80,20.0,20.0,24,True,16300544
interpolate_tensor_pad,457,1,32785,208/270,8,256,80,80,20.0,20.0,24,True,16300544
interpolate_nt,317,2,47291,209/270,8,256,80,80,20.0,20.0,24,True,16300544
relu__tensor_pad,321,1,46608,210/270,8,256,80,80,10.0,10.0,24,True,14427136
relu__tensor_iter,225,2,66433,211/270,8,256,80,80,10.0,10.0,24,True,14427136
relu__nt,215,2,69564,212/270,8,256,80,80,10.0,10.0,24,True,14427136
relu_tensor_iter,226,2,66191,213/270,8,256,80,80,10.0,10.0,24,True,14427136
relu_tensor_pad,322,11,46559,214/270,8,256,80,80,10.0,10.0,24,True,14427136
relu_nt,215,3,69605,215/270,8,256,80,80,10.0,10.0,24,True,14427136
conv2d_iter_1x1,1556,14,9638,216/270,8,256,80,80,10.0,10.0,24,True,14427136
conv2d_pad_1x1,1939,14,7733,217/270,8,256,80,80,10.0,10.0,24,True,14427136
conv2d_nt_1x1,1580,12,9489,218/270,8,256,80,80,10.0,10.0,24,True,14427136
conv2d_iter_3x3,11886,173,1262,219/270,8,256,80,80,10.0,10.0,24,True,14427136
conv2d_pad_3x3,12966,22,1157,220/270,8,256,80,80,10.0,10.0,24,True,14427136
conv2d_nt_3x3,23192,29991,647,221/270,8,256,80,80,10.0,10.0,24,True,14427136
conv2d_iter_7x7,47287,468,318,222/270,8,256,80,80,10.0,10.0,24,True,14427136
conv2d_pad_7x7,40136,31928,375,223/270,8,256,80,80,10.0,10.0,24,True,14427136
conv2d_nt_7x7,558347,2279,27,224/270,8,256,80,80,10.0,10.0,24,True,14427136
batch_norm_tensor_iter,557785,1799,27,225/270,8,256,80,80,10.0,10.0,24,True,14427136
batch_norm_tensor_pad,69817,752,215,226/270,8,256,80,80,10.0,10.0,24,True,14427136
batch_norm_nt,829,13775,18083,227/270,8,256,80,80,10.0,10.0,24,True,14427136
max_pool2d_tensor_iter,277,28,54046,228/270,8,256,80,80,10.0,10.0,24,True,14427136
max_pool2d_tensor_pad,289,1,51821,229/270,8,256,80,80,10.0,10.0,24,True,14427136
max_pool2d_nt,222,17,67330,230/270,8,256,80,80,10.0,10.0,24,True,14427136
cross_entropy_tensor_iter,3173,8,4728,231/270,8,256,80,80,10.0,10.0,24,True,14427136
cross_entropy_tensor_pad,815,3,18401,232/270,8,256,80,80,10.0,10.0,24,True,14427136
cross_entropy_nt,3175,10,4725,233/270,8,256,80,80,10.0,10.0,24,True,14427136
dropout_tensor_iter,301,12,49711,234/270,8,256,80,80,10.0,10.0,24,True,14427136
dropout_tensor_pad,405,2,37012,235/270,8,256,80,80,10.0,10.0,24,True,14427136
dropout_nt,303,3,49415,236/270,8,256,80,80,10.0,10.0,24,True,14427136
interpolate_tensor_iter,1091,2,13747,237/270,8,256,80,80,10.0,10.0,24,True,14427136
interpolate_tensor_pad,322,1,46488,238/270,8,256,80,80,10.0,10.0,24,True,14427136
interpolate_nt,277,2,53976,239/270,8,256,80,80,10.0,10.0,24,True,14427136
relu__tensor_pad,196,1,76515,240/270,8,256,80,80,0.0,0.0,24,True,13107200
relu__tensor_iter,206,1,72601,241/270,8,256,80,80,0.0,0.0,24,True,13107200
relu__nt,195,1,76587,242/270,8,256,80,80,0.0,0.0,24,True,13107200
relu_tensor_iter,207,1,72407,243/270,8,256,80,80,0.0,0.0,24,True,13107200
relu_tensor_pad,196,1,76461,244/270,8,256,80,80,0.0,0.0,24,True,13107200
relu_nt,195,3,76594,245/270,8,256,80,80,0.0,0.0,24,True,13107200
conv2d_iter_1x1,1358,9,11042,246/270,8,256,80,80,0.0,0.0,24,True,13107200
conv2d_pad_1x1,1228,9,12210,247/270,8,256,80,80,0.0,0.0,24,True,13107200
conv2d_nt_1x1,1364,4,10996,248/270,8,256,80,80,0.0,0.0,24,True,13107200
conv2d_iter_3x3,9107,65,1647,249/270,8,256,80,80,0.0,0.0,24,True,13107200
conv2d_pad_3x3,8265,31,1815,250/270,8,256,80,80,0.0,0.0,24,True,13107200
conv2d_nt_3x3,11392,11054,1317,251/270,8,256,80,80,0.0,0.0,24,True,13107200
conv2d_iter_7x7,43781,276,343,252/270,8,256,80,80,0.0,0.0,24,True,13107200
conv2d_pad_7x7,31758,14311,473,253/270,8,256,80,80,0.0,0.0,24,True,13107200
conv2d_nt_7x7,316117,853,48,254/270,8,256,80,80,0.0,0.0,24,True,13107200
batch_norm_tensor_iter,314580,9541,48,255/270,8,256,80,80,0.0,0.0,24,True,13107200
batch_norm_tensor_pad,213,1,70202,256/270,8,256,80,80,0.0,0.0,24,True,13107200
batch_norm_nt,393,19,38152,257/270,8,256,80,80,0.0,0.0,24,True,13107200
max_pool2d_tensor_iter,265,10,56590,258/270,8,256,80,80,0.0,0.0,24,True,13107200
max_pool2d_tensor_pad,178,1,83803,259/270,8,256,80,80,0.0,0.0,24,True,13107200
max_pool2d_nt,178,3,83927,260/270,8,256,80,80,0.0,0.0,24,True,13107200
cross_entropy_tensor_iter,3108,8,4825,261/270,8,256,80,80,0.0,0.0,24,True,13107200
cross_entropy_tensor_pad,552,3,27159,262/270,8,256,80,80,0.0,0.0,24,True,13107200
cross_entropy_nt,3108,12,4825,263/270,8,256,80,80,0.0,0.0,24,True,13107200
dropout_tensor_iter,278,18,53797,264/270,8,256,80,80,0.0,0.0,24,True,13107200
dropout_tensor_pad,246,2,60731,265/270,8,256,80,80,0.0,0.0,24,True,13107200
dropout_nt,279,3,53614,266/270,8,256,80,80,0.0,0.0,24,True,13107200
interpolate_tensor_iter,951,2,15758,267/270,8,256,80,80,0.0,0.0,24,True,13107200
interpolate_tensor_pad,232,1,64450,268/270,8,256,80,80,0.0,0.0,24,True,13107200
interpolate_nt,272,4,55033,269/270,8,256,80,80,0.0,0.0,24,True,13107200
